parameters	trial_id	accuracy	correct_pos_predicted	correct_sites_predicted	kl_dis
param[1, 7, 10]	0	0.0	0	1	3.699313190803137
param[1, 7, 10]	1	0.1	1	0	4.191653536796552
param[1, 7, 10]	2	0.0	0	0	4.284283940849353
param[1, 7, 10]	3	0.0	0	2	1.056077668199584
param[1, 7, 10]	4	0.1	1	0	4.115130354647341
param[1, 7, 10]	5	0.1	1	1	3.3186962237889017
param[1, 7, 10]	6	0.1	1	0	2.5381466512116755
param[1, 7, 10]	7	0.0	0	2	1.9858334324902163
param[1, 7, 10]	8	0.1	1	2	3.319212425842252
param[1, 7, 10]	9	0.0	0	0	2.6766389720611548
param[1.5, 6, 10]	0	0.0	0	3	4.020517419626639
param[1.5, 6, 10]	1	0.0	0	1	5.293494018481875
param[1.5, 6, 10]	2	0.0	0	0	6.133402094670249
param[1.5, 6, 10]	3	0.0	0	6	3.3574283067861574
param[1.5, 6, 10]	4	0.0	0	6	4.15362757857242
param[1.5, 6, 10]	5	0.0	0	1	6.070979999555046
param[1.5, 6, 10]	6	0.0	0	7	4.29528384285435
param[1.5, 6, 10]	7	0.0	0	3	4.227444335559215
param[1.5, 6, 10]	8	0.0	0	2	4.04649129712819
param[1.5, 6, 10]	9	0.0	0	7	3.144902318671289
param[1.5, 7, 10]	0	0.0	0	0	5.538672188124323
param[1.5, 7, 10]	1	0.0	0	7	2.922369498582531
param[1.5, 7, 10]	2	0.0	0	5	3.3216202480199617
param[1.5, 7, 10]	3	0.0	0	0	6.307861173113311
param[1.5, 7, 10]	4	0.1	1	1	6.142164307368167
param[1.5, 7, 10]	5	0.5	5	9	0.9206009126396066
param[1.5, 7, 10]	6	0.2	2	1	3.745668799418704
param[1.5, 7, 10]	7	0.0	0	0	7.091238891089074
param[1.5, 7, 10]	8	0.0	0	0	6.167384562404456
param[1.5, 7, 10]	9	0.0	0	2	4.63506698088828
param[1.5, 7, 20]	0	0.1	2	4	3.5370488150679935
param[1.5, 7, 20]	1	0.0	0	3	4.4818095828366
param[1.5, 7, 20]	2	0.3	6	1	4.468845720662782
param[1.5, 7, 20]	3	0.0	0	8	3.384795539397827
param[1.5, 7, 20]	4	0.15	3	0	5.792581805294847
param[1.5, 7, 20]	5	0.0	0	10	3.0022459476168
param[1.5, 7, 20]	6	0.05	1	0	6.8832119530983595
param[1.5, 7, 20]	7	0.1	2	0	4.856026443871434
param[1.5, 7, 20]	8	0.0	0	4	4.419579522794301
param[1.5, 7, 20]	9	0.05	1	2	4.827842472510428
param[1.5, 7, 5]	0	0.0	0	2	3.8149112950829944
param[1.5, 7, 5]	1	0.2	1	0	4.650822020009748
param[1.5, 7, 5]	2	0.0	0	0	4.3769363049326
param[1.5, 7, 5]	3	0.0	0	0	6.482293935528089
param[1.5, 7, 5]	4	0.0	0	0	6.741016856489087
param[1.5, 7, 5]	5	0.2	1	3	2.86931929856169
param[1.5, 7, 5]	6	0.2	1	0	6.7089315930082885
param[1.5, 7, 5]	7	0.0	0	4	2.656570832085545
param[1.5, 7, 5]	8	0.0	0	0	5.564229824345611
param[1.5, 7, 5]	9	0.0	0	0	4.853016523681195
param[1.5, 8, 10]	0	0.2	2	6	1.6982214175567694
param[1.5, 8, 10]	1	0.1	1	1	5.601045527155041
param[1.5, 8, 10]	2	0.1	1	1	4.753452553627202
param[1.5, 8, 10]	3	0.7	7	8	1.9906258899525504
param[1.5, 8, 10]	4	0.0	0	0	5.145379111306283
param[1.5, 8, 10]	5	0.2	2	8	3.0010841871810654
param[1.5, 8, 10]	6	0.1	1	3	4.210165916383676
param[1.5, 8, 10]	7	0.0	0	8	2.348369587945357
param[1.5, 8, 10]	8	0.2	2	1	3.9605118287483494
param[1.5, 8, 10]	9	0.0	0	4	4.069540790661952
param[2, 7, 10]	0	0.0	0	0	7.807775465318789
param[2, 7, 10]	1	0.0	0	0	8.49679655601653
param[2, 7, 10]	2	0.0	0	6	3.9706987453498557
param[2, 7, 10]	3	0.2	2	7	3.2827595344022273
param[2, 7, 10]	4	0.0	0	6	4.8513159964490775
param[2, 7, 10]	5	0.3	3	3	5.988525481787522
param[2, 7, 10]	6	0.0	0	4	5.442107303971071
param[2, 7, 10]	7	0.1	1	0	6.90395937529463
param[2, 7, 10]	8	0.2	2	6	4.386169971186779
param[2, 7, 10]	9	0.1	1	3	5.378018774369733
